Apply_Order,Priority_Group,Company_or_Source,Type_Size,Role_Fit,Link,Notes,Date_Applied,Status,Referral_Contact,Follow_Up_Date
1,Portal - Broad daily sweep,"LinkedIn - Equity Research (past week, India)",Portal,Equity Research,https://www.linkedin.com/jobs/search/?keywords=equity%20research%20analyst&location=India&f_TPR=r604800,Flip filter to Past 24h for freshest,,,,
2,Portal - Broad daily sweep,LinkedIn - Market Risk / Quant (past week),Portal,Quant/Market Risk,https://www.linkedin.com/jobs/search/?keywords=market%20risk%20analyst&location=India&f_TPR=r604800,Also try keyword: quantitative analyst,,,,
3,Portal - Broad daily sweep,LinkedIn - Credit Analyst (past week),Portal,Credit,https://www.linkedin.com/jobs/search/?keywords=credit%20analyst&location=India&f_TPR=r604800,,,,,
4,Portal - Broad daily sweep,LinkedIn - FP&A / Financial Analyst (past week),Portal,FP&A,https://www.linkedin.com/jobs/search/?keywords=fp%26a%20financial%20analyst&location=India&f_TPR=r604800,,,,,
5,Portal - Broad daily sweep,Naukri - Equity Research (last 7 days),Portal,Equity Research,https://www.naukri.com/equity-research-analyst-jobs?jobAge=7,Or use on-page Freshness=Last 7 days,,,,
6,Portal - Broad daily sweep,Naukri - Quant/Market Risk (last 7 days),Portal,Quant/Market Risk,https://www.naukri.com/quantitative-risk-analyst-jobs?jobAge=7,,,,,
7,Portal - Broad daily sweep,Naukri - Credit Analyst (last 7 days),Portal,Credit,https://www.naukri.com/credit-analyst-jobs?jobAge=7,,,,,
8,Portal - Broad daily sweep,Naukri - Financial Analyst (last 7 days),Portal,FP&A,https://www.naukri.com/financial-analyst-jobs?jobAge=7,,,,,
9,Portal - Broad daily sweep,Indeed India - Equity Research (last 7 days),Portal,Equity Research,https://in.indeed.com/jobs?q=equity+research+analyst&fromage=7,,,,,
10,Portal - Broad daily sweep,Indeed India - Market Risk (last 7 days),Portal,Quant/Market Risk,https://in.indeed.com/jobs?q=market+risk+analyst&fromage=7,,,,,
11,Portal - Broad daily sweep,Indeed India - Credit Analyst (last 7 days),Portal,Credit,https://in.indeed.com/jobs?q=credit+analyst&fromage=7,,,,,
12,Portal - Broad daily sweep,iimjobs - premium finance board,Portal,All,https://www.iimjobs.com/,Search your titles; sort by newest. Best board for MBA-finance/research/credit,,,,
13,1 - Startups/boutiques (apply first),Sensibull,Options analytics startup,Quant/Derivatives,https://www.linkedin.com/jobs/search/?keywords=Sensibull&location=India&f_TPR=r604800,Strong fit - F&O/options background,,,,
14,1 - Startups/boutiques (apply first),Wright Research,Quant PMS startup,Quant/Research,https://www.linkedin.com/jobs/search/?keywords=Wright%20Research&location=India&f_TPR=r604800,Strong fit - quant/factor investing,,,,
15,1 - Startups/boutiques (apply first),Estee Advisors,Quant/algo trading,Quant,https://www.linkedin.com/jobs/search/?keywords=Estee%20Advisors&location=India&f_TPR=r604800,Strong fit - systematic trading,,,,
16,1 - Startups/boutiques (apply first),iRage,Prop/HFT startup,Quant,https://www.linkedin.com/jobs/search/?keywords=iRage&location=India&f_TPR=r604800,Strong fit - HFT/derivatives,,,,
17,1 - Startups/boutiques (apply first),Futures First,Prop trading,Quant/Derivatives,https://www.linkedin.com/jobs/search/?keywords=Futures%20First&location=India&f_TPR=r604800,Strong fit - F&O/commodities,,,,
18,1 - Startups/boutiques (apply first),NK Securities Research,Prop trading,Quant,https://www.linkedin.com/jobs/search/?keywords=NK%20Securities%20Research&location=India&f_TPR=r604800,Strong fit,,,,
19,1 - Startups/boutiques (apply first),Dolat Capital,Prop/broking,Quant/Research,https://www.linkedin.com/jobs/search/?keywords=Dolat%20Capital&location=India&f_TPR=r604800,,,,,
