product,month,month_num,volume,price,unit_cost,revenue,cogs
Alpha Sensor,Jan,1,1529,121.63,69.51,185972.27,106280.79
Alpha Sensor,Feb,2,1428,120.16,69.98,171588.48,99931.44
Alpha Sensor,Mar,3,2009,120.69,71.97,242466.21,144587.73
Alpha Sensor,Apr,4,2253,121.52,70.11,273784.56,157957.83
Alpha Sensor,May,5,2136,116.5,70.86,248844.0,151356.96
Alpha Sensor,Jun,6,2012,119.23,73.26,239890.76,147399.12
Alpha Sensor,Jul,7,1732,118.87,70.89,205882.84,122781.48
Alpha Sensor,Aug,8,1694,118.47,72.45,200688.18,122730.3
Alpha Sensor,Sep,9,2365,119.34,70.07,282239.1,165715.55
Alpha Sensor,Oct,10,2472,123.59,71.11,305514.48,175783.92
Alpha Sensor,Nov,11,2246,117.92,70.04,264848.32,157309.84
Alpha Sensor,Dec,12,2906,122.32,70.92,355461.92,206093.52
Beta Controller,Jan,1,668,263.81,154.05,176225.08,102905.4
Beta Controller,Feb,2,704,271.17,146.27,190903.68,102974.08
Beta Controller,Mar,3,877,273.89,152.82,240201.53,134023.14
Beta Controller,Apr,4,910,276.2,152.22,251342.0,138520.2
Beta Controller,May,5,1066,276.88,149.7,295154.08,159580.2
Beta Controller,Jun,6,906,277.33,147.12,251260.98,133290.72
Beta Controller,Jul,7,795,271.1,151.72,215524.5,120617.4
Beta Controller,Aug,8,760,270.48,149.9,205564.8,113924.0
Beta Controller,Sep,9,1037,277.68,152.21,287954.16,157841.77
Beta Controller,Oct,10,1103,271.96,151.57,299971.88,167181.71
Beta Controller,Nov,11,1009,266.03,156.35,268424.27,157757.15
Beta Controller,Dec,12,1228,266.81,150.77,327642.68,185145.56
Gamma Module,Jan,1,2253,76.96,56.57,173390.88,127452.21
Gamma Module,Feb,2,2262,79.18,57.96,179105.16,131105.52
Gamma Module,Mar,3,3039,78.62,58.0,238926.18,176262.0
Gamma Module,Apr,4,3349,79.48,59.32,266178.52,198662.68
Gamma Module,May,5,3694,77.73,58.71,287134.62,216874.74
Gamma Module,Jun,6,3360,78.65,58.16,264264.0,195417.6
Gamma Module,Jul,7,2914,79.38,59.44,231313.32,173208.16
Gamma Module,Aug,8,2578,77.91,56.38,200851.98,145347.64
Gamma Module,Sep,9,3526,79.12,57.01,278977.12,201017.26
Gamma Module,Oct,10,3787,77.36,56.68,292962.32,214647.16
Gamma Module,Nov,11,3390,77.83,57.3,263843.7,194247.0
Gamma Module,Dec,12,4517,77.8,56.16,351422.6,253674.72
Delta Analyzer,Jan,1,349,537.63,303.81,187632.87,106029.69
Delta Analyzer,Feb,2,336,556.16,298.67,186869.76,100353.12
Delta Analyzer,Mar,3,433,545.63,291.18,236257.79,126080.94
Delta Analyzer,Apr,4,518,550.94,293.91,285386.92,152245.38
Delta Analyzer,May,5,572,556.1,301.88,318089.2,172675.36
Delta Analyzer,Jun,6,515,555.72,305.03,286195.8,157090.45
Delta Analyzer,Jul,7,388,558.13,311.98,216554.44,121048.24
Delta Analyzer,Aug,8,406,549.72,317.48,223186.32,128896.88
Delta Analyzer,Sep,9,555,546.14,302.49,303107.7,167881.95
Delta Analyzer,Oct,10,609,549.92,294.06,334901.28,179082.54
Delta Analyzer,Nov,11,523,532.21,287.21,278345.83,150210.83
Delta Analyzer,Dec,12,659,534.86,301.61,352472.74,198760.99
