product,month,month_num,volume,price,unit_cost,revenue,cogs
Alpha Sensor,Jan,1,1448,120,70,173760,101360
Alpha Sensor,Feb,2,1448,120,70,173760,101360
Alpha Sensor,Mar,3,1862,120,70,223440,130340
Alpha Sensor,Apr,4,2069,120,70,248280,144830
Alpha Sensor,May,5,2276,120,70,273120,159320
Alpha Sensor,Jun,6,2069,120,70,248280,144830
Alpha Sensor,Jul,7,1655,120,70,198600,115850
Alpha Sensor,Aug,8,1655,120,70,198600,115850
Alpha Sensor,Sep,9,2276,120,70,273120,159320
Alpha Sensor,Oct,10,2483,120,70,297960,173810
Alpha Sensor,Nov,11,2069,120,70,248280,144830
Alpha Sensor,Dec,12,2690,120,70,322800,188300
Beta Controller,Jan,1,724,260,150,188240,108600
Beta Controller,Feb,2,724,260,150,188240,108600
Beta Controller,Mar,3,931,260,150,242060,139650
Beta Controller,Apr,4,1034,260,150,268840,155100
Beta Controller,May,5,1138,260,150,295880,170700
Beta Controller,Jun,6,1034,260,150,268840,155100
Beta Controller,Jul,7,828,260,150,215280,124200
Beta Controller,Aug,8,828,260,150,215280,124200
Beta Controller,Sep,9,1138,260,150,295880,170700
Beta Controller,Oct,10,1241,260,150,322660,186150
Beta Controller,Nov,11,1034,260,150,268840,155100
Beta Controller,Dec,12,1345,260,150,349700,201750
Gamma Module,Jan,1,2172,80,55,173760,119460
Gamma Module,Feb,2,2172,80,55,173760,119460
Gamma Module,Mar,3,2793,80,55,223440,153615
Gamma Module,Apr,4,3103,80,55,248240,170665
Gamma Module,May,5,3414,80,55,273120,187770
Gamma Module,Jun,6,3103,80,55,248240,170665
Gamma Module,Jul,7,2483,80,55,198640,136565
Gamma Module,Aug,8,2483,80,55,198640,136565
Gamma Module,Sep,9,3414,80,55,273120,187770
Gamma Module,Oct,10,3724,80,55,297920,204820
Gamma Module,Nov,11,3103,80,55,248240,170665
Gamma Module,Dec,12,4034,80,55,322720,221870
Delta Analyzer,Jan,1,362,540,300,195480,108600
Delta Analyzer,Feb,2,362,540,300,195480,108600
Delta Analyzer,Mar,3,466,540,300,251640,139800
Delta Analyzer,Apr,4,517,540,300,279180,155100
Delta Analyzer,May,5,569,540,300,307260,170700
Delta Analyzer,Jun,6,517,540,300,279180,155100
Delta Analyzer,Jul,7,414,540,300,223560,124200
Delta Analyzer,Aug,8,414,540,300,223560,124200
Delta Analyzer,Sep,9,569,540,300,307260,170700
Delta Analyzer,Oct,10,621,540,300,335340,186300
Delta Analyzer,Nov,11,517,540,300,279180,155100
Delta Analyzer,Dec,12,672,540,300,362880,201600
