txn_id,customer_id,date,amount,direction,channel,counterparty_country
X001,K001,2026-07-02,5000.00,IN,ACH,GB
X002,K002,2026-07-03,45000.00,IN,WIRE,US
X003,K003,2026-07-01,9500.00,IN,CASH,RU
X004,K003,2026-07-02,9200.00,IN,CASH,RU
X005,K003,2026-07-03,9800.00,IN,CASH,RU
X006,K004,2026-07-04,250000.00,IN,WIRE,KY
X007,K004,2026-07-05,240000.00,OUT,WIRE,AE
X008,K005,2026-07-02,3000.00,IN,ACH,ES
X009,K006,2026-07-03,12000.00,OUT,WIRE,VN
X010,K007,2026-07-04,15000.00,IN,WIRE,IR
X011,K002,2026-07-06,18000.00,OUT,WIRE,US
X012,K008,2026-07-05,60000.00,IN,WIRE,SG
X013,K003,2026-07-04,9700.00,IN,CASH,RU
X014,K007,2026-07-06,8500.00,OUT,WIRE,AE
