strike,mid,bid,ask,spot,T,r,q,source
225.0,63.61,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
230.0,58.94,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
240.0,49.3,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
245.0,42.37,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
250.0,37.74,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
255.0,32.86,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
260.0,27.41,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
262.5,25.02,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
265.0,22.8,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
267.5,21.95,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
270.0,19.15,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
272.5,16.43,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
275.0,13.5,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
277.5,11.51,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
280.0,10.0,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
282.5,7.13,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
285.0,4.85,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
287.5,2.85,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
290.0,1.45,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
292.5,0.65,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
295.0,0.22,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
297.5,0.07,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
300.0,0.03,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
302.5,0.01,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
305.0,0.01,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
307.5,0.01,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
310.0,0.01,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
312.5,0.01,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
315.0,0.01,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
317.5,0.01,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
320.0,0.01,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
322.5,0.01,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
325.0,0.02,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
327.5,0.04,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
330.0,0.02,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
335.0,0.1,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
345.0,0.02,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
350.0,0.02,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
355.0,0.02,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
360.0,0.02,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
365.0,0.1,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
370.0,0.21,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
375.0,0.03,0.0,0.0,291.92498779296875,0.0027397260273972603,0.05,0.0,yfinance:AAPL:2026-07-01
