Date,Open,High,Low,Close
2015-06-30,18312.636857389094,18538.935009559424,17821.692394160236,18295.88671875
2015-07-31,18275.386382690143,19228.826558375946,18173.98759271541,18729.6328125
2015-08-31,18782.43122829051,19103.476473429168,16670.357613415392,17146.3515625
2015-09-30,16983.60412387145,17652.145148625223,15762.016925952983,17216.1015625
2015-10-31,17362.747528670745,18028.841263075432,17111.451619662763,17354.298828125
2015-11-30,17351.24792100644,17498.145692529448,16587.05755782872,17430.197265625
2015-12-31,17456.546195534425,17495.2449624779,16187.860856582985,16922.001953125
2016-01-31,16932.303970233705,17067.251626658956,14754.47866733402,15522.2197265625
2016-02-29,15547.569558025678,15565.319352025128,13407.094157570622,13946.23828125
2016-03-31,14064.635892721264,16282.56086099927,14064.635892721264,16141.462890625
2016-04-30,16099.462790906313,17029.652027025735,15440.070796320862,16794.8046875
2016-05-31,16613.80777226395,17665.845970556053,16186.061829724113,17620.6953125
2016-06-30,17670.643600146755,18051.29038036126,16946.152075963237,17935.19140625
2016-07-31,18019.489838744434,19157.77656074588,17910.692628281347,18952.9296875
2016-08-31,18896.27943024977,19823.16950489864,18443.43508852899,19787.369140625
2016-09-30,19805.570115079965,20575.562497124243,19058.829571173235,19285.474609375
2016-10-31,19395.324522894836,19922.467729834243,18824.18119946774,19555.72265625
2016-11-30,19578.371649677847,20309.41526628771,18143.48861165898,18627.583984375
2016-12-31,18676.53226149362,18739.433085269065,17606.695877598817,18176.98828125
2017-01-31,18242.08862539176,19794.7196984457,17830.742605725824,19514.923828125
2017-02-28,19522.173752412767,21042.105635258304,19470.72317784145,20607.009765625
2017-03-31,20698.659191854884,21695.747169370206,20423.112168101416,21443.900390625
2017-04-30,21538.949317957355,22382.739946821224,21385.95113567445,22357.990234375
2017-05-31,22412.2901877602,23469.17721691689,22239.791798742528,23424.529296875
2017-06-30,23393.827147275668,23897.572342096537,22996.13335364495,23210.9296875
2017-07-31,23240.080453954495,25167.80784661843,23144.032738207887,25103.359375
2017-08-31,25152.556290211538,25198.508097695798,23821.9225578586,24318.1171875
2017-09-30,24388.91653489001,25105.057914638586,23610.824931558138,24052.720703125
2017-10-31,24200.319186209203,25185.757859982554,23912.27352904678,25019.05859375
2017-11-30,25197.007320408833,25953.19797240413,25119.207785643473,25332.10546875
2017-12-31,25409.255281911468,25779.75172128879,24616.864852637453,25539.15234375
2018-01-31,25565.45219333038,27651.728679539996,25232.507086740003,27379.130859375
2018-02-28,27334.531876270878,27613.179027937007,24781.41022639921,25107.109375
2018-03-31,25022.059156280557,25225.757963643962,23605.324972667437,24263.068359375
2018-04-30,24235.368268343434,25617.202126171927,24062.669106847683,25531.302734375
2018-05-31,25606.753456321538,27164.235865855204,25468.75548538487,26955.88671875
2018-06-30,26913.087277270748,27047.236926744023,26069.248199776775,26363.892578125
2018-07-31,26364.14297300054,27873.374637854344,26060.296893100047,27763.828125
2018-08-31,27684.479445002933,28388.320884395504,27327.63118522962,28061.423828125
2018-09-30,28199.120571931173,28202.870528227282,24677.96267053657,25119.55859375
2018-10-31,24943.610387791672,25915.048187791483,24239.768083752395,25152.95703125
2018-11-30,25284.90474468136,27012.384976689787,25129.156558562114,26862.63671875
2018-12-31,27032.58585035136,27368.781300669692,25598.65110460109,27159.8828125
2019-01-31,27231.083902420785,27754.126557287756,26441.243718653892,27295.1328125
2019-02-28,27334.233441996195,27589.42928552474,26617.389097725696,26789.58984375
2019-03-31,26940.68674334995,30495.696388243457,26928.587274663238,30420.197265625
2019-04-30,30537.245599685037,30669.444026162953,29434.708081821136,29764.455078125
2019-05-31,29699.45518051227,31783.229623239557,28525.117121428626,31375.03515625
2019-06-30,31405.686465945793,31752.33012901935,30220.34830409407,31104.837890625
2019-07-31,31270.635943783825,31660.382619537828,28529.418090701947,28875.6640625
2019-08-31,28660.166509651037,28819.363875976866,26560.291723510625,27427.53125
2019-09-30,27238.88188345207,30800.94257839302,26641.04074998522,29102.8125
2019-10-31,29225.810585310144,30415.29671843365,27568.02965564602,30065.900390625
2019-11-30,30195.80038596474,32156.6773383503,30013.301842622954,31945.728515625
2019-12-31,32007.92809407514,32612.719648081184,30996.040135285613,32161.27734375
2020-01-31,32237.525775003018,32465.072014667105,30520.946775086384,30833.2421875
2020-02-29,29811.402853462394,31649.081061227276,29051.163218209647,29146.8125
2020-03-31,29700.654373655885,29790.803715213515,16116.062322281537,19143.77734375
2020-04-30,19122.178864159454,21966.744978987208,17142.999284296187,21534.25
2020-05-31,20514.51256076389,20530.21159780997,17104.800852783217,19297.025390625
2020-06-30,19728.670658615785,22479.288498151713,19506.82364753305,21369.90234375
2020-07-31,21353.85100867807,23211.08016819064,21027.604297733174,21639.798828125
2020-08-31,21543.551175511362,25232.30708099636,21031.205549099035,23754.07421875
2020-09-30,23893.5224847478,24199.368531823216,20404.66271447916,21451.55078125
2020-10-31,21684.998686122646,24823.310302556336,21663.89932127444,23900.623046875
2020-11-30,24367.31664224586,30197.498108836717,24120.319510516925,29608.70703125
2020-12-31,29844.454765657654,31509.884314141207,28976.413782660973,31263.6875
2021-01-31,31296.93666873772,32841.91814537505,29687.35351213026,30565.14453125
2021-02-28,30975.991239051436,37708.31324318035,30906.091657115194,34803.1953125
2021-03-31,35373.83893444791,36496.92582696449,32414.874044294847,33303.51171875
2021-04-30,33587.608614932215,34286.602741865514,30405.29645378291,32781.41796875
2021-05-31,32368.174956685074,35583.886046812884,31906.180320871754,35526.234375
2021-06-30,35639.336332065526,35810.48224657488,33908.554431615696,34771.796875
2021-07-31,34865.59554500094,35984.83112795977,34114.80174162509,34583.94921875
2021-08-31,34760.495503756676,36552.37742142812,34587.8490675249,36424.1796875
2021-09-30,36591.02323786575,38376.80356547614,36151.527136811506,37424.66796875
2021-10-31,37139.96583962296,41829.113661403244,36875.922040145095,39115.1484375
2021-11-30,39431.69134389287,40159.73339360422,35327.48800351136,35694.88671875
2021-12-31,35902.48192223586,37580.61346240294,34018.05565648867,35481.28515625
2022-01-31,35584.78703524051,38855.09794884346,35526.1900577274,37974.91015625
