strike,CE_OI,CE_chgOI,CE_IV,PE_OI,PE_chgOI,PE_IV
57400,2,15,16.2,4,14,16.2
57500,2,-8,15.8,9,9,15.8
57600,2,10,15.4,20,7,15.4
57700,2,-3,15.0,51,-14,15.0
57800,4,2,14.6,58,10,14.6
57900,12,-15,14.2,87,1,14.2
58000,24,6,13.8,77,-12,13.8
58100,42,14,13.4,91,-7,13.4
58200,51,8,13.0,60,3,13.0
58300,59,-10,13.4,34,10,13.4
58400,65,3,13.8,22,2,13.8
58500,67,-6,14.2,11,6,14.2
58600,66,18,14.6,4,15,14.6
58700,26,15,15.0,2,9,15.0
58800,23,-9,15.4,2,-3,15.4
58900,8,2,15.8,2,7,15.8
59000,3,17,16.2,2,5,16.2
