strike,CE_OI,CE_chgOI,CE_IV,PE_OI,PE_chgOI,PE_IV
23600,2,15,16.2,4,14,16.2
23650,2,-8,15.8,9,9,15.8
23700,2,10,15.4,20,7,15.4
23750,2,-3,15.0,51,-14,15.0
23800,4,2,14.6,58,10,14.6
23850,12,-15,14.2,87,1,14.2
23900,24,6,13.8,77,-12,13.8
23950,42,14,13.4,91,-7,13.4
24000,51,8,13.0,60,3,13.0
24050,59,-10,13.4,34,10,13.4
24100,65,3,13.8,22,2,13.8
24150,67,-6,14.2,11,6,14.2
24200,66,18,14.6,4,15,14.6
24250,26,15,15.0,2,9,15.0
24300,23,-9,15.4,2,-3,15.4
24350,8,2,15.8,2,7,15.8
24400,3,17,16.2,2,5,16.2
