ticker,total_assets,current_assets,current_liabilities,retained_earnings,total_liabilities,long_term_debt,revenue,ebit,market_cap,equity_vol
AAPL,359241000000.0,147957000000.0,165631000000.0,-14264000000.0,285508000000.0,78328000000.0,416161000000.0,133050000000.0,4297079914496.0,0.2808188413639853
MSFT,619003000000.0,191131000000.0,141218000000.0,237731000000.0,275524000000.0,40152000000.0,281724000000.0,126012000000.0,2817159593984.0,0.26262788906645346
JPM,4424900000000.0,,,416055000000.0,4062462000000.0,433970000000.0,181847000000.0,,872422047744.0,0.25280632209839116
XOM,448980000000.0,83382000000.0,72330000000.0,482494000000.0,182354000000.0,27928000000.0,323905000000.0,41871000000.0,568479514624.0,0.24440018142426934
JNJ,199210000000.0,55624000000.0,54126000000.0,153843000000.0,117666000000.0,39438000000.0,94193000000.0,33552000000.0,607208407040.0,0.18541949147081715
PG,125231000000.0,25392000000.0,36058000000.0,129973000000.0,72947000000.0,24995000000.0,84284000000.0,21074000000.0,340441169920.0,0.1919983629154194
WMT,284668000000.0,84874000000.0,107469000000.0,104774000000.0,178488000000.0,34624000000.0,713163000000.0,32268000000.0,866296594432.0,0.24100663909620462
KO,104816000000.0,31044000000.0,21281000000.0,80382000000.0,70541000000.0,42119000000.0,47941000000.0,17652000000.0,350501699584.0,0.16966450625469404
CAT,98585000000.0,52485000000.0,36558000000.0,65448000000.0,77267000000.0,30690000000.0,67589000000.0,12043000000.0,467703496704.0,0.33998045637782587
F,289160000000.0,123487000000.0,114890000000.0,22508000000.0,253180000000.0,106034000000.0,187267000000.0,-10497000000.0,54490673152.0,0.37924011703204596
