order_id,customer_id,product_id,quantity,order_date,unit_price
O1001,C001,P100,2,2023-09-01,799.00
O1002,C002,P101,1,2023-09-01,3499.00
O1003,C003,P104,1,2023-09-02,2499.00
O1004,C001,P107,3,2023-09-02,299.00
O1005,C004,P103, 2 ,2023-09-03,599.00
O1006,C005,P108,1,2023-09-03,
O1007,C006,P102,2,2023-09-04,1999.00
O1008,C002,P105,4,2023-09-04,449.00
O1009,C007,P106,1,2023-09-05,899.00
O1010,C008,P100,2,2023-09-05,799.00
O1011,C003,P109,10,2023-09-06,199.00
O1012,C009,P101,1,2023-09-06,3499.00
O1013,C010,P104,2,2023-09-07,2499.00
O1014,C001,P108,1,2023-09-07,2299.00
O1015,C004,,2,2023-09-08,599.00
O1016,,P103,1,2023-09-08,599.00
O1017,C005,P102,two,2023-09-09,1999.00
O1018,C006,P105,-3,2023-09-09,449.00
O1019,C007,P106,2,not_a_date,899.00
O1020,C008,P107,5,2023-09-10,299.00
O1010,C008,P100,2,2023-09-05,799.00
O1012,C009,P101,1,2023-09-06,3499.00
O1021,C002,P100,1,2023-09-11,799.00
O1022,C003,P101,2,2023-09-11,3499.00
O1023,C011,P104,1,2023-09-12,2499.00
O1024,C004,P999,1,2023-09-12,150.00
O1025,C005,P108,0,2023-09-13,2299.00
O1026,C006,P103,3,2023-09-13,599.00
O1027,C007,P105,2,2023-09-14,449.00
O1028,C008,P106,1,2023-09-14,899.00
O1029,C009,P102,2,2023-09-15,1999.00
O1030,C010,P109,,2023-09-15,199.00
